Role,Company Name,Location,Post Date
"Openings with Sage IT _ Graph data Engineer _ 5+ Yrs _Pune, Mumbai, Chennai, Bangalore, Hyderabad.",SAGE IT,"Pune, Maharashtra, India",1 day ago
CIEL/SEL/20957: Technology Specialist,CIEL HR,"Pune, Maharashtra, India",2 days ago
Big Data Developer,Tata Consultancy Services,"Pune, Maharashtra, India",3 days ago
Embedded Firmware Engineer,JobsCubicle,"Pune, Maharashtra, India",2 days ago
Data Scientist with NLP,Techtory,"Pune, Maharashtra, India",16 hours ago
Unit Manager - Bajaj Finserv App/Senior Unit Manager - Bajaj Finserv App(JR00111652),Bajaj Finserv,"Pune, Maharashtra, India",3 weeks ago
Internal Audit Assistant Vice President,Apex Group Ltd,"Pune, Maharashtra, India",2 weeks ago
Data Science/Analytics Trainer,Nisu Onfotech,"Pune, Maharashtra, India",3 days ago
"Specialist, Metrics and Analytics",BNY Mellon,"Pune, Maharashtra, India",2 weeks ago
"Category Specialist, Steel Parts & Subcontracting",Konecranes,"Pune, Maharashtra, India",4 weeks ago
Tableau Developer,SKILLETY,"Pune, Maharashtra, India",2 months ago
SAS Developer,Luxoft,"Pune, Maharashtra, India",2 weeks ago
ETL Developer_Deputy Manager_Pune,_VOIS,"Pune, Maharashtra, India",1 month ago
"Solution Architect, Solution Engineering (Data)",Western Union,"Pune, Maharashtra, India",3 days ago
Fund Services.Product Specialist,The Citco Group Limited,"Pune, Maharashtra, India",2 weeks ago
Senior Development Engineer/Architect [Reg-Tech/Risk-Tech],ZOOP.ONE,"Pune, Maharashtra, India",2 months ago
Lead Consultant:Workday Functional Consultant,Thoughtworks,"Pune, Maharashtra, India",9 hours ago
GM - Rewards & PWM Lead,Vodafone Idea Limited,"Pune, Maharashtra, India",2 days ago
Cluster Manager - Pocket Insurance(JR00112437),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Manager - Partnership & Alliances(JR00113384),Bajaj Finserv,"Pune, Maharashtra, India",2 days ago
Senior Data Engineer(JR00106578),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Assistant Analyst - DRF (GBS),Faurecia,"Pune, Maharashtra, India",1 month ago
Apply for Executive Assistant To CFO - Business Analysis,Phenom Placements,"Pune, Maharashtra, India",3 weeks ago
Big Data & GCP- Senior Software Engineer,EPAM Systems,"Pune, Maharashtra, India",2 days ago
Senior Engineer Backend,HEADWAY CONSULTANT,Pune/Pimpri-Chinchwad Area,1 month ago
SEO - Associate Digital Marketing,Merkle,"Pune, Maharashtra, India",2 weeks ago
Denodo Architect,Orion India Systems Pvt Ltd,"Pune, Maharashtra, India",3 weeks ago
Azure Data Bricks,Bitwise India,"Pune, Maharashtra, India",3 weeks ago
ETL Developer - Ab Initio,Barclays,"Pune, Maharashtra, India",4 days ago
