Role,Company Name,Location,Post Date
Associate Data Architect,Bitwise India,"Pune, Maharashtra, India",2 weeks ago
Data Engineer,Talent Corner HR Services Pvt Ltd,"Pune, Maharashtra, India",4 weeks ago
Senior Data Quality Analyst,bp,"Pune, Maharashtra, India",2 days ago
Data Engineers,Zensar Technologies,"Pune, Maharashtra, India",2 weeks ago
Data Engineer,Mindpool Technologies Inc,"Pune, Maharashtra, India",2 months ago
Senior Data Scientist,JetSynthesys,"Pune, Maharashtra, India",3 days ago
Lead Data Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 months ago
Lead Generation Executive,UnboundB2B,"Pune, Maharashtra, India",3 months ago
Lead Engineer - Big Data,EPAM Systems,"Pune, Maharashtra, India",1 day ago
Power BI Developer,H.B. Fuller,"Pune, Maharashtra, India",2 months ago
Data Engineer - SQL/Python,Juniper Consultancy Services,"Pune, Maharashtra, India",1 week ago
Job openings for deep learning in pune,Talent Zone Consultant,"Pune, Maharashtra, India",1 month ago
Associate Director – Data Enablement & Contracting,MSD,"Pune, Maharashtra, India",2 days ago
Data Engineer - Python/SQL,Juniper Consultancy Services,"Pune, Maharashtra, India",1 week ago
Senior Data Engineer,Snowflake,"Pune, Maharashtra, India",1 week ago
AWS/Azure DE with Snowflake,Abzooba,"Pune, Maharashtra, India",1 week ago
Data Engineer - SQL/Python,Juniper Consultancy Services,"Pune, Maharashtra, India",2 weeks ago
Business Intelligence Manager - ISV (BU),Emerson,"Pune, Maharashtra, India",1 week ago
Data Engineering Manager,KOKO Networks,"Pune, Maharashtra, India",1 month ago
Partner Data_Big Data/ Cloud Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 weeks ago
Assistant Manager - PL - Prime - T1(JR00112222),Bajaj Finserv,"Pune, Maharashtra, India",3 weeks ago
"Lead Business Analytics (Python, SQL)",Citi,"Pune, Maharashtra, India",2 months ago
Data Visualization Manager,MSD,"Pune, Maharashtra, India",1 month ago
Partner Data_Big Data/ Cloud Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 weeks ago
Data Engineer/Consultant,Sourced Group an Amdocs Company,"Pune, Maharashtra, India",1 week ago
Data Engineer - Databricks,Nivasoft,"Pune, Maharashtra, India",3 months ago
Partner Data_Big Data/ Cloud Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 weeks ago
AWS Machine Learning Engineer,Ankercloud GmbH,"Pune, Maharashtra, India",2 months ago
Data Engineer (Python AWS),Barclays,"Pune, Maharashtra, India",1 month ago
Research Engineer,Predii,"Pune, Maharashtra, India",2 months ago
Power BI Expert,Applycup Hiring Solutions,"Pune, Maharashtra, India",3 weeks ago
Lead Generation Internship in Pune at Metapercept Technology Services,Metapercept Technology Services,"Pune, Maharashtra, India",1 week ago
"Business Intelligence Analyst, II",Zebra Technologies,"Pune, Maharashtra, India",1 week ago
Senior Data Engineer,PriceLabs,"Pune, Maharashtra, India",1 month ago
Partner Data_Big Data/ Cloud Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 weeks ago
Senior Analyst-Data,Eaton,"Pune, Maharashtra, India",1 week ago
Head of Analytics (Get a 30% salary increase & Pay 0% Tax in Dubai),Puffy,"Pune, Maharashtra, India",3 weeks ago
Data Scientist,IDESLABS PRIVATE LIMITED,"Pune, Maharashtra, India",2 months ago
"Business Intelligence Analyst, II",Zebra Technologies,"Pune, Maharashtra, India",1 week ago
Marketing Analyst,CIEL HR,"Pune, Maharashtra, India",2 days ago
Data Engineer,Central Business Solutions Inc.,"Pune, Maharashtra, India",2 months ago
Data Scientist,Kavayah People Consulting Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
